web_scraper_order,web_scraper_start_url,type_clothes,price,address,image_link
"1765229979-1","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Onesie - Women's Set","Price on request","Guediawaye, Dakar, Senegal","https://images.coinafrique.com/thumb_740349_uploaded_image1_1562956490.71.png"
"1765229979-2","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Children's dress","35,000 CFA","Dieuppeul-Derklé, Dakar, Senegal","https://images.coinafrique.com/thumb_739801_uploaded_image1_1562946241.61.png"
"1765229979-3","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Diapers and children's clothing","8,000 CFA","Ngor, Dakar, Senegal","https://images.coinafrique.com/thumb_735868_uploaded_image1_1562861740.96.png"
"1765229979-4","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Children's costume","20,000 CFA","Medina, Dakar, Senegal","https://images.coinafrique.com/thumb_735207_uploaded_image1_1562852018.04.png"
"1765229979-5","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Children's abaya, ages 2-5","18,000 CFA","Les Parcelles Assainies, Dakar, Senegal","https://images.coinafrique.com/thumb_727626_uploaded_image1_1562678215.71.png"
"1765229979-6","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Children's Tabaski Special Abaya","Price on request","Les Parcelles Assainies, Dakar, Senegal","https://images.coinafrique.com/thumb_725848_uploaded_image1_1562624169.32.png"
"1765229979-7","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Children's outfit","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_724146_uploaded_image1_1562589336.01.png"
"1765229979-8","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Children's outfit","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_724143_uploaded_image1_1562589274.19.png"
"1765229979-9","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Children's outfit","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_724138_uploaded_image1_1562589114.05.png"
"1765229979-10","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Children's outfit","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_724135_uploaded_image1_1562589070.16.png"
"1765229979-11","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Children's outfit","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_724130_uploaded_image1_1562588990.25.png"
"1765229979-12","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Children's outfit","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_724128_uploaded_image1_1562588912.66.png"
"1765229979-13","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Children's outfit","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_724122_uploaded_image1_1562588821.84.png"
"1765229979-14","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Children's outfit","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_724115_uploaded_image1_1562588760.4.png"
"1765229979-15","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Children's outfit","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_724113_uploaded_image1_1562588710.7.png"
"1765229979-16","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Children's outfit","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_724109_uploaded_image1_1562588631.85.png"
"1765229979-17","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Children's outfit","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_724102_uploaded_image1_1562588582.95.png"
"1765229979-18","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Children's outfit","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_724091_uploaded_image1_1562588225.16.png"
"1765229979-19","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Children's outfit","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_724081_uploaded_image1_1562588040.19.png"
"1765229979-20","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Children's outfits","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_724072_uploaded_image1_1562587876.78.png"
"1765229979-21","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Children's outfits","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_724060_uploaded_image1_1562587746.67.png"
"1765229979-22","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Children's Outfit","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_724057_uploaded_image1_1562587700.41.png"
"1765229979-23","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Children's outfit","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_724054_uploaded_image1_1562587650.41.png"
"1765229979-24","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Children's outfit","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_724052_uploaded_image1_1562587604.4.png"
"1765229979-25","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Children's outfit","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_724047_uploaded_image1_1562587553.26.png"
"1765229979-26","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Children's set","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_724043_uploaded_image1_1562587503.48.png"
"1765229979-27","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Children's costume set","25,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_724000_uploaded_image1_1562587045.77.png"
"1765229979-28","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Children's costume set","25,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_723992_uploaded_image1_1562586931.16.png"
"1765230110-29","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's clothing","Price on request","Point E, Dakar, Senegal","https://images.coinafrique.com/thumb_882774_uploaded_image1_1566929353.89.png"
"1765230110-30","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Baby clothes","6,000 CFA","Cambérène, Dakar, Senegal","https://images.coinafrique.com/thumb_882678_uploaded_image1_1566927510.43.png"
"1765230110-31","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","First-choice thrift store - Children's clothing","Price on request","Dieuppeul-Derklé, Dakar, Senegal","https://images.coinafrique.com/thumb_874430_uploaded_image1_1566726381.32.png"
"1765230110-32","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","First-choice thrift store - Children's clothing","Price on request","Dieuppeul-Derklé, Dakar, Senegal","https://images.coinafrique.com/thumb_874424_uploaded_image1_1566726248.32.png"
"1765230110-33","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's Clothing - First Choice Thrift Store","Price on request","Dieuppeul-Derklé, Dakar, Senegal","https://images.coinafrique.com/thumb_874422_uploaded_image1_1566726154.26.png"
"1765230110-34","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","First-choice thrift store - Children's clothing","Price on request","Dieuppeul-Derklé, Dakar, Senegal","https://images.coinafrique.com/thumb_874418_uploaded_image1_1566726014.16.png"
"1765230110-35","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's clothing","Price on request","Dieuppeul-Derklé, Dakar, Senegal","https://images.coinafrique.com/thumb_874410_uploaded_image1_1566725903.03.png"
"1765230110-36","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Top-quality thrift store","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_874399_uploaded_image1_1566725623.64.png"
"1765230110-37","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's jacket","Price on request","Medina, Dakar, Senegal","https://images.coinafrique.com/thumb_859544_uploaded_image1_1566339969.44.png"
"1765230110-38","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's clothing","Price on request","Medina, Dakar, Senegal","https://images.coinafrique.com/thumb_859540_uploaded_image1_1566339904.59.png"
"1765230110-39","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's dress","8,000 CFA","Senegal","https://images.coinafrique.com/thumb_829029_uploaded_image1_1565382378.89.png"
"1765230110-40","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Dress","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_821731_uploaded_image1_1565208424.68.png"
"1765230110-41","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Tabaski dress collection","Price on request","Guediawaye, Dakar, Senegal","https://images.coinafrique.com/thumb_814621_uploaded_image1_1565037683.29.png"
"1765230110-42","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's Jacket","Price on request","Medina, Dakar, Senegal","https://images.coinafrique.com/thumb_809246_uploaded_image1_1564866370.7.png"
"1765230110-43","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Embroidered Bazin Dresses - Children","15,000 CFA","Hann Bel-Air, Dakar, Senegal","https://images.coinafrique.com/thumb_808557_uploaded_image1_1564848841.78.png"
"1765230110-44","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's clothing - Bazin Getzner","20,000 CFA","Hann Bel-Air, Dakar, Senegal","https://images.coinafrique.com/thumb_808553_uploaded_image1_1564848715.66.png"
"1765230110-45","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Getzner children's dress","20,000 CFA","Hann Bel-Air, Dakar, Senegal","https://images.coinafrique.com/thumb_808545_uploaded_image1_1564848572.85.png"
"1765230110-46","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's clothing","Price on request","HLM, Dakar, Senegal","https://images.coinafrique.com/thumb_803921_uploaded_image1_1564729928.32.png"
"1765230110-47","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Boys' Set","Price on request","Biscuit factory, Dakar, Senegal","https://images.coinafrique.com/thumb_799559_uploaded_image1_1564591431.49.png"
"1765230110-48","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's dress","Price on request","Biscuit factory, Dakar, Senegal","https://images.coinafrique.com/thumb_799552_uploaded_image1_1564591269.56.png"
"1765230110-49","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's dress","Price on request","Petit-Mbao, Dakar, Senegal","https://images.coinafrique.com/thumb_799192_uploaded_image1_1564585177.98.png"
"1765230110-50","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's dresses","Price on request","Petit-Mbao, Dakar, Senegal","https://images.coinafrique.com/thumb_799190_uploaded_image1_1564585120.62.png"
"1765230110-51","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's clothing","Price on request","Medina, Dakar, Senegal","https://images.coinafrique.com/thumb_794850_uploaded_image1_1564483781.69.png"
"1765230110-52","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Child's Costume","Price on request","Medina, Dakar, Senegal","https://images.coinafrique.com/thumb_789093_uploaded_image1_1564310873.21.png"
"1765230110-53","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Children's outfit","18,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_780901_uploaded_image1_1564061950.08.png"
