web_scraper_order,web_scraper_start_url,type_shoes,price,address,image_link
"1765228717-1","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Children's shoes","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_905406_uploaded_image1_1567528116.55.png"
"1765228717-2","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Children's shoes","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_905401_uploaded_image1_1567528046.76.png"
"1765228717-3","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Children's shoes","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_905399_uploaded_image1_1567528008.97.png"
"1765228717-4","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Children's shoes","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_905397_uploaded_image1_1567527975.86.png"
"1765228717-5","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Children's shoes","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_905394_uploaded_image1_1567527922.13.png"
"1765228717-6","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Children's shoes","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_905388_uploaded_image1_1567527880.73.png"
"1765228717-7","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","children's shoes","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_905385_uploaded_image1_1567527792.61.png"
"1765228717-8","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Children's shoes","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_905383_uploaded_image1_1567527755.2.png"
"1765228717-9","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Children's shoes","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_905378_uploaded_image1_1567527715.54.png"
"1765228717-10","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Children's shoes","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_905376_uploaded_image1_1567527683.78.png"
"1765228717-11","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Children's shoes","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_905373_uploaded_image1_1567527650.34.png"
