web_scraper_order,web_scraper_start_url,type clothes,price,address ,image_link
"1765190607-1","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Lacoste","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2194396_uploaded_image1_1590769401.jpg"
"1765190607-2","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Lacoste","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2194391_uploaded_image1_1590769348.jpg"
"1765190607-3","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Lacoste","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2194385_uploaded_image1_1590769314.jpg"
"1765190607-4","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Lacoste polo shirt","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2194382_uploaded_image1_1590769285.jpg"
"1765190607-5","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Lacoste","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2194377_uploaded_image1_1590769246.jpg"
"1765190607-6","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Lacoste","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2194368_uploaded_image1_1590769159.jpg"
"1765190607-7","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Men's trousers","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2194269_uploaded_image1_1590768120.jpg"
"1765190607-8","https://sn.coinafrique.com/categorie/vetements-homme?page=119","T-shirts","5,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2193874_uploaded_image1_1590763528.jpg"
"1765190607-9","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Men's Set","12,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2193841_uploaded_image1_1590763102.jpg"
"1765190607-10","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pants and t-shirt","12,000 CFA","Guediawaye, Dakar, Senegal","https://images.coinafrique.com/thumb_2192716_uploaded_image1_1590750847.jpg"
"1765190607-11","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Jacket set","25,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2192607_uploaded_image1_1590750206.jpg"
"1765190607-12","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Men's Set","25,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2192595_uploaded_image1_1590750138.jpg"
"1765190607-13","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Lacoste","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2192589_uploaded_image1_1590750101.jpg"
"1765190607-14","https://sn.coinafrique.com/categorie/vetements-homme?page=119","T-shirt and panties set","12,000 CFA","Rufisque, Senegal","https://images.coinafrique.com/thumb_2190286_uploaded_image1_1590713796.jpg"
"1765190607-15","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Men's Set","13,500 CFA","Rufisque, Senegal","https://images.coinafrique.com/thumb_2190282_uploaded_image1_1590713706.jpg"
"1765190607-16","https://sn.coinafrique.com/categorie/vetements-homme?page=119","unique t-shirt","3,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2190205_uploaded_image1_1590711685.jpg"
"1765190607-17","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Men's Set","Price on request","Dakar Plateau, Dakar, Senegal","https://images.coinafrique.com/thumb_2189970_uploaded_image1_1590708428.jpg"
