web_scraper_order,web_scraper_start_url,type shoes,price,address,image_link
"1765183814-1","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Nike sneakers","15,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2386667_uploaded_image1_1593770964.jpg"
"1765183814-2","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Nike shoes","18,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2386664_uploaded_image1_1593770924.jpg"
"1765183814-3","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","LeBron James sneakers","25,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2386660_uploaded_image1_1593770891.jpg"
"1765183814-4","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","LeBron James sneakers","25,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2386648_uploaded_image1_1593770805.jpg"
"1765183814-5","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","LeBron James sneakers","25,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2386647_uploaded_image2_1593770769.jpeg"
"1765183814-6","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","LeBron James shoes","25,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2386645_uploaded_image1_1593770722.jpg"
"1765183814-7","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Nike AF 1 Sneakers","22,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2386637_uploaded_image1_1593770640.jpg"
"1765183814-8","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Jordan sneakers","30,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2386633_uploaded_image1_1593770604.jpg"
"1765183814-9","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Nike Zoom sneakers","20,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2386629_uploaded_image1_1593770564.jpg"
"1765183814-10","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Nike 270 sneakers","20,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2386624_uploaded_image1_1593770518.jpg"
"1765183814-11","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Nike 270 sneakers","20,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2386617_uploaded_image1_1593770476.jpg"
"1765183814-12","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Puma sneakers","15,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2386611_uploaded_image1_1593770437.jpg"
"1765183814-13","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Puma sneakers","20,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2386609_uploaded_image1_1593770410.jpg"
"1765183814-14","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Men's shoes","29,000 CFA","Yoff, Dakar, Senegal","https://images.coinafrique.com/thumb_2386419_uploaded_image1_1593768307.jpg"
"1765183814-15","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Men's shoes","13,000 CFA","Guediawaye, Dakar, Senegal","https://images.coinafrique.com/thumb_2386260_uploaded_image1_1593766288.jpg"
"1765183814-16","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Men's shoes","13,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2385519_uploaded_image1_1593757240.jpg"
"1765183814-17","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Men's shoes","13,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2385517_uploaded_image1_1593757206.jpg"
"1765183814-18","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Men's loafers","Price on request","Pikine, Senegal","https://images.coinafrique.com/thumb_2385160_uploaded_image1_1593745304.jpg"
"1765183814-19","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Men's shoes","5,000 CFA","Dieuppeul-Derklé, Dakar, Senegal","https://images.coinafrique.com/thumb_2385111_uploaded_image1_1593742949.jpg"
"1765183814-20","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Men's shoes","5,000 CFA","Dieuppeul-Derklé, Dakar, Senegal","https://images.coinafrique.com/thumb_2385093_uploaded_image1_1593742624.jpg"
"1765183814-21","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Men's shoes","5,000 CFA","Dieuppeul-Derklé, Dakar, Senegal","https://images.coinafrique.com/thumb_2385078_uploaded_image1_1593742360.jpg"
"1765183814-22","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Men's loafers","20,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2385055_uploaded_image1_1593741993.jpg"
"1765183814-23","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Men's Shoes","10,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2384836_uploaded_image1_1593735329.jpg"
"1765183814-24","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Sebago men's shoes","11,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2384810_uploaded_image1_1593734980.jpg"
"1765183814-25","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Men's sandals","5,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2384696_uploaded_image1_1593733632.jpg"
"1765183814-26","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Unisex sandals","5,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2384694_uploaded_image1_1593733587.jpg"
"1765183814-27","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Unisex sandals","5,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2384685_uploaded_image1_1593733528.jpg"
"1765183814-28","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Men's and women's sandals","5,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2384680_uploaded_image1_1593733475.jpg"
"1765183814-29","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Men's sandals","13,000 CFA","Guediawaye, Dakar, Senegal","https://images.coinafrique.com/thumb_2384431_uploaded_image1_1593730090.jpg"
"1765183814-30","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Men's shoes","13,000 CFA","Guediawaye, Dakar, Senegal","https://images.coinafrique.com/thumb_2384408_uploaded_image1_1593729667.jpg"
"1765183814-31","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Men's slippers","13,000 CFA","Guediawaye, Dakar, Senegal","https://images.coinafrique.com/thumb_2384395_uploaded_image1_1593729559.jpg"
"1765183814-32","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Men's shoes","15,000 CFA","Guediawaye, Dakar, Senegal","https://images.coinafrique.com/thumb_2384227_uploaded_image1_1593727229.jpg"
"1765183814-33","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Men's shoes","13,000 CFA","Dakar, Senegal","https://images.coinafrique.com/thumb_2383547_uploaded_image1_1593715720.jpg"
"1765183814-34","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Nike Air Max Shoes","Price on request","Dakar, Senegal","https://images.coinafrique.com/thumb_2382834_uploaded_image1_1593706910.jpg"
"1765183814-35","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Nike Air Max 95 sneakers","22,500 CFA","Parcelle Assainies, Dakar, Senegal","https://images.coinafrique.com/thumb_2382277_uploaded_image1_1593700703.jpg"
